Optimization,Result
-argpromotion -break-crit-edges -constmerge -deadargelim, secure
-scev-aa -argpromotion -break-crit-edges -constmerge -deadargelim, secure
-adce -argpromotion -break-crit-edges -constmerge -deadargelim, secure
-scev-aa -adce -argpromotion -break-crit-edges -constmerge -deadargelim, secure
-always-inline -argpromotion -break-crit-edges -constmerge -deadargelim, secure
-scev-aa -always-inline -argpromotion -break-crit-edges -constmerge -deadargelim, secure
-adce -always-inline -argpromotion -break-crit-edges -constmerge -deadargelim, secure
-scev-aa -adce -always-inline -argpromotion -break-crit-edges -constmerge -deadargelim, secure
-codegenprepare -constmerge -deadargelim, secure
-scev-aa -codegenprepare -constmerge -deadargelim, secure
-adce -codegenprepare -constmerge -deadargelim, secure
-scev-aa -adce -codegenprepare -constmerge -deadargelim, secure
-always-inline -codegenprepare -constmerge -deadargelim, secure
-scev-aa -always-inline -codegenprepare -constmerge -deadargelim, secure
-adce -always-inline -codegenprepare -constmerge -deadargelim, secure
-scev-aa -adce -always-inline -codegenprepare -constmerge -deadargelim, secure
-argpromotion -codegenprepare -constmerge -deadargelim, secure
-scev-aa -argpromotion -codegenprepare -constmerge -deadargelim, secure
-adce -argpromotion -codegenprepare -constmerge -deadargelim, secure
-scev-aa -adce -argpromotion -codegenprepare -constmerge -deadargelim, secure
-always-inline -argpromotion -codegenprepare -constmerge -deadargelim, secure
-scev-aa -always-inline -argpromotion -codegenprepare -constmerge -deadargelim, secure
-adce -always-inline -argpromotion -codegenprepare -constmerge -deadargelim, secure
-scev-aa -adce -always-inline -argpromotion -codegenprepare -constmerge -deadargelim, secure
-break-crit-edges -codegenprepare -constmerge -deadargelim, secure
-scev-aa -break-crit-edges -codegenprepare -constmerge -deadargelim, secure
-adce -break-crit-edges -codegenprepare -constmerge -deadargelim, secure
-scev-aa -adce -break-crit-edges -codegenprepare -constmerge -deadargelim, secure
-always-inline -break-crit-edges -codegenprepare -constmerge -deadargelim, secure
-scev-aa -always-inline -break-crit-edges -codegenprepare -constmerge -deadargelim, secure
-adce -always-inline -break-crit-edges -codegenprepare -constmerge -deadargelim, secure
-scev-aa -adce -always-inline -break-crit-edges -codegenprepare -constmerge -deadargelim, secure
-argpromotion -break-crit-edges -codegenprepare -constmerge -deadargelim, secure
-scev-aa -argpromotion -break-crit-edges -codegenprepare -constmerge -deadargelim, secure
-adce -argpromotion -break-crit-edges -codegenprepare -constmerge -deadargelim, secure
-scev-aa -adce -argpromotion -break-crit-edges -codegenprepare -constmerge -deadargelim, secure
-always-inline -argpromotion -break-crit-edges -codegenprepare -constmerge -deadargelim, secure
-scev-aa -always-inline -argpromotion -break-crit-edges -codegenprepare -constmerge -deadargelim, secure
-adce -always-inline -argpromotion -break-crit-edges -codegenprepare -constmerge -deadargelim, secure
-scev-aa -adce -always-inline -argpromotion -break-crit-edges -codegenprepare -constmerge -deadargelim, secure
-dce -deadargelim, secure
-scev-aa -dce -deadargelim, secure
-adce -dce -deadargelim, secure
-scev-aa -adce -dce -deadargelim, secure
-always-inline -dce -deadargelim, secure
-scev-aa -always-inline -dce -deadargelim, secure
-adce -always-inline -dce -deadargelim, secure
-scev-aa -adce -always-inline -dce -deadargelim, secure
-argpromotion -dce -deadargelim, secure
-scev-aa -argpromotion -dce -deadargelim, secure
-adce -argpromotion -dce -deadargelim, secure
-scev-aa -adce -argpromotion -dce -deadargelim, secure
-always-inline -argpromotion -dce -deadargelim, secure
-scev-aa -always-inline -argpromotion -dce -deadargelim, secure
-adce -always-inline -argpromotion -dce -deadargelim, secure
-scev-aa -adce -always-inline -argpromotion -dce -deadargelim, secure
-break-crit-edges -dce -deadargelim, secure
-scev-aa -break-crit-edges -dce -deadargelim, secure
-adce -break-crit-edges -dce -deadargelim, secure
-scev-aa -adce -break-crit-edges -dce -deadargelim, secure
-always-inline -break-crit-edges -dce -deadargelim, secure
-scev-aa -always-inline -break-crit-edges -dce -deadargelim, secure
-adce -always-inline -break-crit-edges -dce -deadargelim, secure
-scev-aa -adce -always-inline -break-crit-edges -dce -deadargelim, secure
-argpromotion -break-crit-edges -dce -deadargelim, secure
-scev-aa -argpromotion -break-crit-edges -dce -deadargelim, secure
-adce -argpromotion -break-crit-edges -dce -deadargelim, secure
-scev-aa -adce -argpromotion -break-crit-edges -dce -deadargelim, secure
-always-inline -argpromotion -break-crit-edges -dce -deadargelim, secure
-scev-aa -always-inline -argpromotion -break-crit-edges -dce -deadargelim, secure
-adce -always-inline -argpromotion -break-crit-edges -dce -deadargelim, secure
-scev-aa -adce -always-inline -argpromotion -break-crit-edges -dce -deadargelim, secure
-codegenprepare -dce -deadargelim, secure
